index,gameweek,dayofweek,date,h_Team,score,a_Team,att,stadium,ref,report_link,h_scored,a_scored,id_game,h_r_before,a_r_before,h_r_after,a_r_after,h_result,a_result,h_score_diff,a_score_diff
2025,13,Sun,2021-11-28,Burnley,0,Tottenham,0,Turf Moor,Peter Bankes,0,0,0,2025,1,1,0,0,0.5,0.5,0,0
2040,15,Sat,2021-12-04,Watford,0,Manchester City,0,Vicarage Road Stadium,0,https://fbref.com/en/stathead/matchup/squads/b8fd03ef/2abfe087/Manchester-City-vs-Watford-History,0,0,2040,1,1,0,0,0.5,0.5,0,0
2041,15,Sat,2021-12-04,Southampton,0,Brighton,0,St. Mary's Stadium,0,https://fbref.com/en/stathead/matchup/squads/d07537b9/33c895d4/Brighton-and-Hove-Albion-vs-Southampton-History,0,0,2041,1,1,0,0,0.5,0.5,0,0
2042,15,Sat,2021-12-04,Newcastle Utd,0,Burnley,0,St. James' Park,0,https://fbref.com/en/stathead/matchup/squads/b2b47a98/943e8050/Newcastle-United-vs-Burnley-History,0,0,2042,1,1,0,0,0.5,0.5,0,0
2043,15,Sat,2021-12-04,Wolves,0,Liverpool,0,Molineux Stadium,0,https://fbref.com/en/stathead/matchup/squads/8cec06e1/822bd0ba/Wolverhampton-Wanderers-vs-Liverpool-History,0,0,2043,1,1,0,0,0.5,0.5,0,0
2044,15,Sat,2021-12-04,West Ham,0,Chelsea,0,London Stadium,0,https://fbref.com/en/stathead/matchup/squads/cff3d9bb/7c21e445/Chelsea-vs-West-Ham-United-History,0,0,2044,1,1,0,0,0.5,0.5,0,0
2045,15,Sun,2021-12-05,Aston Villa,0,Leicester City,0,Villa Park,0,https://fbref.com/en/stathead/matchup/squads/a2d435b3/8602292d/Leicester-City-vs-Aston-Villa-History,0,0,2045,1,1,0,0,0.5,0.5,0,0
2046,15,Sun,2021-12-05,Tottenham,0,Norwich City,0,Tottenham Hotspur Stadium,0,https://fbref.com/en/stathead/matchup/squads/361ca564/1c781004/Tottenham-Hotspur-vs-Norwich-City-History,0,0,2046,1,1,0,0,0.5,0.5,0,0
2047,15,Sun,2021-12-05,Manchester Utd,0,Crystal Palace,0,Old Trafford,0,https://fbref.com/en/stathead/matchup/squads/47c64c55/19538871/Crystal-Palace-vs-Manchester-United-History,0,0,2047,1,1,0,0,0.5,0.5,0,0
2048,15,Sun,2021-12-05,Leeds United,0,Brentford,0,Elland Road,0,https://fbref.com/en/stathead/matchup/squads/cd051869/5bfb9659/Brentford-vs-Leeds-United-History,0,0,2048,1,1,0,0,0.5,0.5,0,0
2049,15,Mon,2021-12-06,Everton,0,Arsenal,0,Goodison Park,0,https://fbref.com/en/stathead/matchup/squads/d3fd31cc/18bb7c10/Everton-vs-Arsenal-History,0,0,2049,1,1,0,0,0.5,0.5,0,0
2050,16,Fri,2021-12-10,Brentford,0,Watford,0,Brentford Community Stadium,0,https://fbref.com/en/stathead/matchup/squads/cd051869/2abfe087/Brentford-vs-Watford-History,0,0,2050,1,1,0,0,0.5,0.5,0,0
2051,16,Sat,2021-12-11,Manchester City,0,Wolves,0,Etihad Stadium,0,https://fbref.com/en/stathead/matchup/squads/b8fd03ef/8cec06e1/Manchester-City-vs-Wolverhampton-Wanderers-History,0,0,2051,1,1,0,0,0.5,0.5,0,0
